"ID","Type","Name","Documentation","Specialization"
"id-2926dd79756f461db9e991c82c9d69a9","Artifact","Write to File and Open in Browser.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Write to File and Open in Browser.ajs | Tiefe: 4",""
"id-2a3020422e894ded8664e7b735ddbb6d","Artifact","relations.csv","Datei | Pfad: 01-artifacts/02-csv/04-import/relations.csv | Tiefe: 4",""
"id-2ac10405b0d248e097e27d137d9d3734","Artifact","log-0.txt","Datei | Pfad: 00-model/00-archimate/00-archimateactive/log-0.txt | Tiefe: 4",""
"id-2cf9d7eed5ad4b2db593a0e9ec3ae741","Artifact","ConvertConcept.lib.js","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/ConvertConcept.lib.js | Tiefe: 5",""
"id-2d97e636e86b4f198414b3d71dd97e72","Artifact","Goal.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/5. Motivation/Goal.ajs | Tiefe: 6",""
"id-2e97178c17dd462882939d93f6e1899e","Artifact","Open Model and list all Concepts.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Open Model and list all Concepts.ajs | Tiefe: 4",""
"id-2f4f088fa3b4416690279e6860ac0eec","Artifact","HLP01_copy.py","Datei | Pfad: 01-artifacts/01-scripts/HLP01_copy.py | Tiefe: 3",""
"id-313c9aafd578449ab57e3e2fecbaec73","Artifact","Heat.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Heat.ajs | Tiefe: 4",""
"id-33cda08ba5cb41a69f14b7026801819a","Artifact","02-xychild","Ordner | Pfad: 01-artifacts/00-xml/03-child/02-xychild | Tiefe: 4",""
"id-3486656fbf3a497ba1e5c033a18c10b2","Artifact","System Software.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/4. Technology & Physical/System Software.ajs | Tiefe: 6",""
"id-34f1228d60994b5599a06e14b0ea270d","Artifact","Install.txt","Datei | Pfad: Install.txt | Tiefe: 1",""
"id-34f5eef1c5af4a9f963551a082e13395","Artifact","CLE12-xml_archimate_child.py","Datei | Pfad: 01-artifacts/01-scripts/CLE12-xml_archimate_child.py | Tiefe: 3",""
"id-36e45cb2ed444a4f975578c56d91593b","Artifact","Technology Function.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/4. Technology & Physical/Technology Function.ajs | Tiefe: 6",""
"id-37a9a260e8ca4588a2e953a46f28b59a","Artifact","CLE25-csv_export.py","Datei | Pfad: 01-artifacts/01-scripts/CLE25-csv_export.py | Tiefe: 3",""
"id-38447e5179fd4441b3522fa15c24206f","Artifact","00-master","Ordner | Pfad: 01-artifacts/00-xml/00-master | Tiefe: 3",""
"id-387290f14d5b47c1b5cbc43ef799a3ef","Artifact","HLP00_resolve_root.cpython-314.pyc","Datei | Pfad: 01-artifacts/01-scripts/__pycache__/HLP00_resolve_root.cpython-314.pyc | Tiefe: 4",""
"id-3984986b97cc4ca3823291b4970e8b0c","Artifact","Business Service.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/2. Business/Business Service.ajs | Tiefe: 6",""
"id-3b74961ac9ca45c5bc4499fbfb0e53a8","Artifact","Folder Management.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Folder Management.ajs | Tiefe: 4",""
"id-3bcd9ea6eb2d4cd0927fff35d4818275","Artifact","Technology Interface.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/4. Technology & Physical/Technology Interface.ajs | Tiefe: 6",""
"id-3c41fd1c9b2f4c1a82a8995b71998f78","Artifact","CSV03-resolve_run_scope.py","Datei | Pfad: 01-artifacts/01-scripts/CSV03-resolve_run_scope.py | Tiefe: 3",""
"id-3c8a9b4f1d3d447abc21e2037595a911","Artifact","archimate3_View.xsd","Datei | Pfad: 01-artifacts/00-xml/03-child/00-archimatechild/archimate3_View.xsd | Tiefe: 5",""
"id-3cf56cec21ae4fb286209b0d2924ac35","Artifact","Set Bounds and Visual Attributes.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Set Bounds and Visual Attributes.ajs | Tiefe: 4",""
"id-3ffa7ae2a3074d3b888eff755831646c","Artifact","Constraint.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/5. Motivation/Constraint.ajs | Tiefe: 6",""
"id-423204850b2a4df5868cc2acbffad7c8","Artifact","MUNI FLOW.archimate","Datei | Pfad: 00-model/00-archimate/01-archimateactivesub/MUNI FLOW.archimate | Tiefe: 4",""
"id-42425be474e54de2af942cbc59147280","Artifact","8. Relations","Ordner | Pfad: 01-artifacts/01-scripts/examples/Change type to/8. Relations | Tiefe: 5",""
"id-443fb4c0e32c4d448e6fc941e3ab8854","Artifact","LICENSE","Ordner | Pfad: LICENSE | Tiefe: 1",""
"id-44a5ce60b2344576896a84bbc62ba8d3","Artifact","jszip-101.js","Datei | Pfad: 01-artifacts/01-scripts/examples/lib/jszip-101.js | Tiefe: 5",""
"id-44b274206b994affab023b643605f01e","Artifact","00-archimate","Ordner | Pfad: 01-artifacts/05-reports/00-archimate | Tiefe: 3",""
"id-4607604c4eb84a03b1edb4112f9c5c6d","Artifact","run-scope.txt","Datei | Pfad: 02-stages/run-scope.txt | Tiefe: 2",""
"id-46b2d7af4fdf4a9ea30fdbb335eb74dd","Artifact","structure.txt","Datei | Pfad: structure.txt | Tiefe: 1",""
"id-486fde17df0e4136bdf209b141398e06","Artifact","CLE10-xml_master.py","Datei | Pfad: 01-artifacts/01-scripts/CLE10-xml_master.py | Tiefe: 3",""
"id-4be638baa51940b09ab31f6740166947","Artifact","Principle.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/5. Motivation/Principle.ajs | Tiefe: 6",""
"id-4f893e3de4af4d129c04f2466d640a42","Artifact","Export View Image.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Export View Image.ajs | Tiefe: 4",""
"id-507ca8fc74ef462d8f3629338d420390","Artifact","Set Font Sizes.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Set Font Sizes.ajs | Tiefe: 4",""
"id-50ad20e9349f4a5fb4b878dc38e04724","Artifact","CLE26-csv_no_id.py","Datei | Pfad: 01-artifacts/01-scripts/CLE26-csv_no_id.py | Tiefe: 3",""
"id-514dc00a5cb1431b8b61cc4efbe5fb66","Artifact","CSV98-clean_master.py","Datei | Pfad: 01-artifacts/01-scripts/CSV98-clean_master.py | Tiefe: 3",""
"id-55a39ff2d24a4b609b248a7693ad3b6d","Artifact","00-master","Ordner | Pfad: 01-artifacts/02-csv/00-master | Tiefe: 3",""
"id-587e39b78e1c4a8c89f5c32fade6527a","Artifact","CLE21-csv_all_childs.py","Datei | Pfad: 01-artifacts/01-scripts/CLE21-csv_all_childs.py | Tiefe: 3",""
